Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	2	, you're	15	M	9, 13, 23
2	2	, and	21	M	15, 35
2	2	, i	11	M	25, 35
2	2	, you	17	M	13, 29
2	2	are the	3	M	15, 17
2	2	done in	33	M	13, 45
2	2	that .	13	M	21, 33
2	2	uh ,	13	M	11, 23
2	2	you ,	7	M	23, 29
7	1	you	35	M	13, 23, 25, 27, 29, 39, 47
6	1	the	35	M	13, 15, 17, 25, 43, 47
5	1	i	41	M	1, 25, 31, 35, 41
4	1	in	33	M	13, 17, 21, 45
4	1	you're	29	M	9, 13, 23, 37
3	1	a	13	M	11, 15, 23
3	1	uh	21	M	3, 11, 23
2	1	have	3	M	11, 13
2	1	it	31	M	15, 45
2	1	lemon	5	M	21, 25
2	1	no	9	M	21, 29
2	1	of	5	M	43, 47
2	1	ones	3	M	15, 17
2	1	so	11	M	3, 13
2	1	they	7	M	11, 17
2	1	to	33	M	15, 47
2	1	were	5	M	25, 29

