M:	!!!%!! Remind me!!;!!type!!Type!!et!!list!!sv!!it!!if!!condition!!!!!body!!this!!This!!ety!!I!!Okay!!You!!That!!Yeah!!And!!They!!Oh!!We!!Same!!But!!Well!!It!!Nice!!Because!!?!!What!!Do!!So!!Thank!!you!!Have!!O!!V!!A!! Auto!!P!!Me!!Did!! wished!! tag!!Is!!Good!!The!!One!!See!!Are!!All!!Two!!ape!!style!! LINE!!Wow!!.!! translated!! translate!!Thanks!!Who!!Your!!IV!!book!!world!!If!!=!!'!!!,!!Big!!Now!!In!!Enjoy!!Just!!Let!!Put!!Goal!!Right!!L!!!'!!ool!!Take!! Wild!!How!! <!!Great!!Work!!When!!!:!!>!!and!!one!!eting!!husband!!Sometimes!!There!! grandma!!work!! This!!two!!ivan!!Wh!! Another!!He!!--!! mailbox!!Hi!!en!!As!!TW!! NATO!!ual!!To!! Tokyo!!iveness!!Holy!!ork!!Give!!Yes!!ctic!!atic!!My!! operator!!way!! Ukraine!! safely!!aving!!Absolutely!!place!!These!!ist!! Ukrainian!!ial!!ness!! When!! equality!!ERN!!xt!!IAL!!irling!! Margaret!! Hungary!! decor!!orial!! White!! Hungarian!! Mal!! YOUR!! Supreme!!
A:	Okay.
M:	I, I do a lot of that.
A:	Oh, okay.
M:	Yeah.
A:	Uh-huh.
M:	and it's, it's real good.
A:	But, I'm sure that's fun.
M:	Well, it's, it, it is fun, and I like the challenge of trying to find something that you can watch.
A:	Uh-huh. Oh, okay, well, they seem to be on later,
M:	Yeah, yeah.
A:	all, always right, right before the news is when I catch them. I, I tend to, if nothing else is in the town television at eleven o'clock just to watch the news, and or, or NIGHTLINE or something, just sort of get a good, you know, a good, a good think for the day.
M:	Yeah, that's true.
A:	Yes. When is yours on?
M:	Oh, it's on at ten now.
A:	Oh, gosh, well, I'm sorry I interrupted, um,
M:	That's okay.
A:	Yeah, ours is on,
M:	Okay.
A:	actually it, ours is on at eleven it, it's, um, eleven o'clock now here or eleven twenty-five now here in New York. Um, I think they they do that, I think they put things on at, um, eleven o'clock here and I think they put it like eleven o'clock, um, California time, like in California but in the middle they sort of, um, like central time or mountain time they, they push things back. So, I was actually, actually I'm not sure , I was in, I was in Iowa awhile ago, and noticed that everything was an hour earlier, so, does your prime time start at seven o'clock?
M:	Um, I don't know, I, I went to school in central time zone, and I thought it was five thirty.
A:	Wait, no, no,
M:	but, um.
A:	not, not even the news but do they have like, um, do like sort of all the regular sitcoms and so forth, start at seven o'clock? You, so, like, you know, the regular television shows that are, that are very popular, do they start at, seven or, or at eight?
M:	Yeah, yeah, yeah.
A:	Right, because that would the eight o'clock here.
M:	Right.
A:	Yeah, that, that would all start at, at, um, that would all start at, at eight o'clock here, that wouldn't start at seven. We have, um, at seven o'clock we just have, um, the, they'll play, you know, they have old reruns of CHEERS or something from seven to seven thirty, and then something else from seven thirty to eight
M:	Uh-huh.
A:	and ours start at, at, at, at eight and end at eleven, that's why we . I, I would actually like it better if everything started at seven and ended at ten.
M:	Oh, yeah.
A:	Oh, that's great.
M:	And, uh, and, uh I guess there's some, there's a little bit of a decline in the family values, but, uh.
A:	Oh, all the time. Do you watch CHEERS
M:	!!! remind me to say thank you for the call.
A:	it's at, that was actually a big dilemma for me now because, um, CHEERS, CHEERS and TWIN PEAKS are now on the same time,
