A:	Uh-huh.
M:	So we went to a baseball, and I'm not really a big baseball fan
A:	That's funny.
M:	it was just like, you just go and sit there and he tries to eat it, you can't do anything. He's like, gee, you're eating too much.
A:	You miss the whole thing.
M:	Yeah, and I think it's, it's really neat.
A:	That's funny. Where is he from in France? Uh-huh.
M:	in, in the Calais part.
A:	Yeah. I have a, I had a friend in college from Strasbourg,
M:	Uh-hoh.
A:	Uh-huh. Paris. And my cousin lives in Paris and she's lived there for like, oh, off and on for twenty years.
M:	Oh, really?
A:	Uh-huh.
M:	Okay.
A:	Saint Claude is that sound familiar?
M:	Yeah, yeah, that's the name of it.
A:	Yeah.
M:	that's where I live, but, uh, I've only been there once so far, but I've been there a couple of times.
A:	Oh, really?
M:	Uh-huh.
A:	Uh-huh.
M:	it's, it's very, very hard to get into, to get, to the Dallas area.
A:	That's neat. Yeah, she married and they have twelve children.
M:	Oh, wow.
A:	She has twelve children.
M:	Oh, my goodness.
A:	She looks gorgeous, no she's gorgeous and she just liked having kids and she's thin and, I mean, four or more children are thin,
M:	Oh.
A:	I mean, I'm not kidding you.
M:	Well, you know, I know two of them that are twins.
A:	No, your, I have a friend now that has seven. And, um, and they're all eight and under, and nine and under,
M:	Oh, gosh.
A:	they're all real young, they're just raised right that's what God's told them to do but they're not condemning you, if you, we only have one child, you know, they don't say, they don't put on bad or anything which is good because it would be easy, I'm sure, for them to do that, you get a conviction like that and you think everyone should have it. And so I'm real proud of them because they're aren't really, they don't do that at all.
M:	Yeah.
A:	You go in their bathroom and there's ten tooth brushes in there. And I always give her a hard time whose toothbrush did you really use this morning
M:	Oh, no.
A:	Uh-huh. They live lean for one thing and they tithe and they it puts a whole in your money bag, *spelling: hole we don't honor God with this portion and so they, I think that helps a lot. I think that's the key, in he, like his sales last year he just works a normal job. He probably has an income of thirty-five thousand, but last year he made that got him a bonus of twenty-five thousand which allowed him to pay cash for a full size van. He loves God, I mean, it was the biggest thing that any one in this company had ever done,
M:	Uh.
A:	and he got to do it and so God just really blesses him in ways like that, do trust God because, I don't know, kids are a blessing and, and some people you know, we think of blessings as nice furniture and things like that, but kids are just as much of a blessing inside these material things but it's a different kind and a lot times people think, oh, well, I'm not blessed I have an old car. But you've got five kids, you know,
M:	Uh, I know, I have, I had a, a, uh I had an Oldsmobile that I bought used for, uh...
A:	you're just as blessed, probably more, because if you follow this, there's a good book called WHAT THE BIBLE HAS TO SAY ABOUT CHILD TRAINING, by Richard Fugate
M:	Uh, yeah.
A:	and he's, you know, a lot of wisdom in it. And the kids at BIBLE talk about anything but training, and training is different than anything else in, in psychology doesn't address it. A lot of the psychology stuff, the good stuff that's in psychology it just comes out of the BIBLE and they don't quote you the proverb out of it, but the things that work in psychology other the years that they've proven to work, they just come out of the BIBLE and so this book it just really all these things and how to train the child so they're not going to be a curse to you when they're thirteen.
M:	Yeah, I think that's true.
A:	What I mean how to train them so they're going to be a blessing and so, you know, they do that and they, they just live lean pretty much they don't, she doesn't shop at Foley's you know, and stuff like that. But a lot women die or shop at Foley's so things ,
M:	Yeah.
A:	It's like a Macy's, kind of store,
M:	Right.
A:	it's pretty nice and everything's pretty expensive and, you know, you just can't do that and you don't go to baseball games as much or you get pictures like we did. You know what I mean?
M:	Yeah, I'm not, I, I think, I was, I went to one, I guess it was like a, a year or so ago and I went and bought a, like a membership at the dollar store and, and then, you, you go and you buy like a pair of shoes and stuff and then you go in and buy like, like, maybe, maybe five dollars worth of merchandise.
A:	You do these fun things, you know, in other kinds of ways and I know Manhattan's real expensive but, um, it's kind of a different situation because you're probably living in an apartment, right?
M:	Right, right.
A:	Yeah.
M:	you know, we're in a town home here in Plano, and it's, it, it was, it really was difficult to move because there was so many kids in the neighborhood.
A:	Well, church softball leagues, so,
M:	Right.
A:	they're not all boys and right now we don't have a girls' league because I'm the one that's supposed to start one and I just haven't gotten around to doing it. I keep saying we need to have one. They go, okay, then start one. But everybody wants to do it but, you know, God's sitting on my heart and I just hadn't gotten around to doing it, but anyway, so they could really only have four members on the team. I think they only have four boys . I don't even think they have but two old enough to play yet.
M:	Uh,
A:	But, um, then you didn't believe me about her kids *listen: this and utt2 as one utt are the they are so good. I'm not kidding you but she does work with them and it's a commitment and, that, that's what they're called to do.
M:	Yeah.
A:	I have a, most of my friends,
M:	!!!%!!;!! Remind me of that.
A:	I know, I do too, I, most of my friends have three or four kids and they feel like, you know, that's really why God and some of the people in our church use birth control and some of them don't, I had my tubes tied so you,
